onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
48	8	58	-2	B	-1	4	2	2	1	True	1.0	0	4	4	4	4a	24	1	False	3	True				False	14	iv64(2)		d	i		iv64(2)	iv		64	2		m	True	True	(0, 1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv64	iv64, minor		iv64(2), minor		iv	2	2	2	-4	-4	-4	True	False	False
48	2	69	3	A	0	4	2	1	1	False	1.0	0	4	4	4	4a	24	1/4	False	4	True				False	14	iv64(2)		d	i		iv64(2)	iv		64	2		m	True	True	(0, 1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv64	iv64, minor		iv64(2), minor		iv	2	2	2	1	1	1	True	False	False
50	1	67	1	G	0	4	2	1	1	True	1.5	0	4	4	4	4a	25	1/8	False	4	True				False	15	iv64		d	i		iv64	iv		64			m	True	True	(0, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv64	iv64, minor		iv64, minor		iv	2	2	2	-1	-1	-1	True	True	False
51	1	65	-1	F	0	4	2	1	1	True	1.75	0	4	4	4	4a	51/2	1/8	False	4	False				False	15	iv64		d	i		iv64	iv		64			m	True	True	(0, -1, -4)	()	-1	0	minor	minor	i	i, minor	iv		i	i	True	iv64	iv64, minor		iv64, minor		iv	2	2	2	-3	-3	-3	False	False	False
52	4	52	4	E	0	4	2	2	2	True	2.0	0	4	4	4	4a	26	1/2	False	3	True				False	16	iio		d	i		iio	ii	o				o	True	True	(2, -1, -4)	()	2	2	minor	minor	i	i, minor	ii		i	i	True	iio	iio, minor		iio, minor		ii	2	2	2	2	2	2	True	True	True
52	4	67	1	G	0	4	2	1	1	True	2.0	0	4	4	4	4a	26	1/2	False	4	True				False	16	iio		d	i		iio	ii	o				o	True	True	(2, -1, -4)	()	2	2	minor	minor	i	i, minor	ii		i	i	True	iio	iio, minor		iio, minor		ii	2	2	2	-1	-1	-1	True	False	False
56	8	53	-1	F	0	4	2	2	2	True	3.0	0	4	4	4	4a	28	1	False	3	True				False	17	i6		d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	2	2	2	-3	-3	-3	True	False	True
56	8	57	3	A	0	4	2	2	1	True	3.0	0	4	4	4	4a	28	1	False	3	True				False	17	i6		d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	2	2	2	1	1	1	True	False	False
56	6	69	3	A	0	4	2	1	1	True	3.0	0	4	4	4	4a	28	3/4	False	4	True				False	17	i6		d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	2	2	2	1	1	1	True	False	False
58	2	62	2	D	0	4	2	1	2	True	3.5	0	4	4	4	4a	29	1/4	False	4	False				False	17	i6		d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	2	2	2	0	0	0	True	True	False
60	4	65	-1	F	0	4	2	1	2	True	4.0	0	4	4	4	4a	30	1/2	False	4	False				False	17	i6		d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	2	2	2	-3	-3	-3	True	False	True
62	2	71	5	B	0	4	2	1	1	True	4.5	0	4	4	4	4a	31	1/4	False	4	False				False	17	i6		d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	2	2	2	3	3	3	False	False	False
64	8	48	0	C	0	4	2	2	2	True	1.0	0	5	5	5	5a	32	1	False	3	True				False	18	V(4)/III		d	i		V(4)/III	V			4	III	M	True	True	(-2, -3, -1)	()	-2	-2	minor	minor	i	i, minor	V/III	III	III/i	III	False	V/III	V/III, minor		V(4)/III, minor	III	III	2	2	-1	-2	-2	1	True	True	True
